date,year,month,temp_mean,temp_max,temp_min,rain_sum,rain_days,sunshine_mean_hours,radiation_mean,et0_mean,wind_speed_max
2012-07-01,2012,7,26.741338112305854,37.4,15.2,91.75555555555556,16.555555555555557,10.725608117615826,20.29635603345281,4.737252090800478,40.1
2012-08-01,2012,8,26.55149342891278,37.0,14.8,106.8074074074074,18.14814814814815,10.462001473516526,19.9221027479092,4.753954599761052,40.9
2012-09-01,2012,9,26.46827160493827,36.9,14.8,113.72962962962964,19.25925925925926,10.030292259945131,19.901728395061728,4.575271604938272,38.2
2012-10-01,2012,10,25.311230585424138,38.1,13.8,449.9777777777778,25.77777777777778,8.247822464489579,16.84641577060932,3.593273596176822,46.0
2012-11-01,2012,11,24.764074074074077,31.6,14.0,291.1888888888889,20.59259259259259,8.831181690672153,16.15237037037037,3.3229135802469134,41.6
2012-12-01,2012,12,24.22437275985663,30.7,11.7,206.9148148148148,19.96296296296296,8.388824093986461,14.450955794504182,2.998279569892473,39.6
2013-01-01,2013,1,24.042652329749103,32.2,10.8,214.65925925925924,11.037037037037036,8.49450116155582,16.101481481481482,3.4447311827956986,31.9
2013-02-01,2013,2,24.672883597883597,32.8,12.2,111.08148148148148,13.11111111111111,9.777058847736626,19.015753968253968,3.923161375661376,29.5
2013-03-01,2013,3,25.66057347670251,34.6,13.9,153.78518518518518,18.25925925925926,10.352612066905616,20.76663082437276,4.285304659498208,26.6
2013-04-01,2013,4,26.996913580246915,36.5,14.6,82.41111111111111,15.48148148148148,10.709399595336077,21.9620987654321,4.685876543209877,31.6
2013-05-01,2013,5,26.8389486260454,36.3,14.9,143.0814814814815,19.74074074074074,9.638459176290986,19.227825567502983,4.32221027479092,45.7
2013-06-01,2013,6,25.99407407407407,34.6,15.4,170.0888888888889,19.85185185185185,9.694006200274348,17.583827160493826,4.057296296296296,43.2
2013-07-01,2013,7,26.04826762246117,36.2,15.2,102.04444444444444,17.0,10.26724616686579,18.919187574671447,4.3469414575866185,43.0
2013-08-01,2013,8,26.133213859020312,37.5,14.3,106.14444444444445,18.074074074074073,10.622712196336122,20.584492234169655,4.578936678614098,39.6
2013-09-01,2013,9,25.80308641975309,36.5,13.9,122.63703703703705,17.62962962962963,9.68048312414266,18.931222222222225,4.218827160493827,40.6
2013-10-01,2013,10,25.8415770609319,36.0,13.3,180.94444444444449,19.444444444444443,9.920446226602948,19.132138590203105,4.223010752688172,36.1
2013-11-01,2013,11,24.765925925925927,31.5,12.4,167.89629629629633,20.22222222222222,9.901379499314128,17.46762962962963,3.5697901234567904,40.2
2013-12-01,2013,12,24.01027479091995,31.3,13.1,162.94444444444446,15.48148148148148,8.190521113766096,14.278112305854242,3.0887574671445637,40.0
2014-01-01,2014,1,23.94109916367981,32.5,11.7,131.15555555555554,13.555555555555555,9.34556176158237,16.36010752688172,3.4371804062126645,41.5
2014-02-01,2014,2,24.89920634920635,35.9,9.7,18.8,5.333333333333333,10.92148025793651,21.56505291005291,4.585925925925926,29.6
2014-03-01,2014,3,26.361170848267623,37.2,12.2,34.196296296296296,5.925925925925926,10.952933014735166,22.873548387096776,5.147072879330945,28.1
2014-04-01,2014,4,26.7458024691358,37.2,13.6,152.52592592592592,17.296296296296298,10.610301241426612,21.791827160493828,4.638111111111111,25.2
2014-05-01,2014,5,26.574671445639183,35.2,15.0,169.88148148148144,20.51851851851852,9.93649666799416,19.42304659498208,4.1792592592592595,39.3
2014-06-01,2014,6,27.230493827160497,36.2,15.6,75.25925925925925,15.444444444444445,10.79773869341564,20.258123456790127,4.799592592592592,41.0
2014-07-01,2014,7,26.96941457586619,36.8,15.3,73.40370370370371,15.592592592592592,10.71005141046064,20.10921146953405,4.85078853046595,39.0
2014-08-01,2014,8,26.11589008363202,36.3,14.0,129.73703703703703,20.0,10.03903343289526,19.2368458781362,4.3563560334528075,41.8
2014-09-01,2014,9,26.094814814814814,37.2,14.6,160.03333333333333,20.77777777777778,10.29222377914952,20.17385185185185,4.477555555555556,40.1
2014-10-01,2014,10,25.124133811230585,33.5,14.5,379.1629629629629,28.074074074074073,8.895012322447897,17.07173237753883,3.4983512544802866,37.9
2014-11-01,2014,11,24.40691358024691,31.6,12.9,339.6814814814815,22.88888888888889,7.338499725651578,14.214506172839506,2.909814814814814,39.0
2014-12-01,2014,12,23.95137395459976,30.7,13.6,532.0333333333333,27.03703703703704,6.568287976237887,12.152485065710872,2.4931780167264037,40.0
2015-01-01,2015,1,24.39175627240143,33.2,12.1,32.10740740740741,7.592592592592593,10.502823702376212,18.87594982078853,3.954408602150538,30.5
2015-02-01,2015,2,24.457010582010582,34.7,10.4,93.92592592592592,13.74074074074074,10.328361654908877,19.483002645502644,4.039828042328042,33.2
2015-03-01,2015,3,25.69557945041816,35.2,11.0,84.23703703703703,11.814814814814817,10.76329743130227,22.61729988052569,4.7389486260454,26.6
2015-04-01,2015,4,26.12283950617284,35.1,14.4,201.55555555555551,23.37037037037037,10.262591769547326,20.982123456790124,4.3398518518518525,24.6
2015-05-01,2015,5,26.43094384707288,34.3,15.2,178.8259259259259,22.555555555555557,10.002322003185984,19.305830346475503,4.072939068100359,43.7
2015-06-01,2015,6,26.698024691358025,35.8,15.1,103.0037037037037,17.14814814814815,10.34859715020576,19.485444444444447,4.364913580246913,46.7
2015-07-01,2015,7,26.75627240143369,36.4,14.6,86.6962962962963,16.40740740740741,10.644947477764504,19.966547192353644,4.646487455197133,38.2
2015-08-01,2015,8,26.590083632019116,36.2,14.9,112.4962962962963,18.666666666666668,10.723101148280898,20.643727598566308,4.654898446833931,39.3
2015-09-01,2015,9,26.04555555555556,37.0,14.9,183.8777777777778,22.666666666666668,9.439200600137172,18.515641975308643,4.0424444444444445,40.8
2015-10-01,2015,10,25.31935483870968,34.1,14.6,488.0888888888888,28.074074074074073,8.062620496482145,16.338637992831543,3.3829032258064515,38.6
2015-11-01,2015,11,24.75172839506173,31.2,14.6,372.6592592592592,26.59259259259259,8.015063124142662,14.546234567901235,2.939864197530864,44.7
2015-12-01,2015,12,24.736081242532855,31.2,12.4,251.9148148148148,22.40740740740741,8.835831073277578,14.967132616487454,3.0635722819593787,33.3
2016-01-01,2016,1,24.99163679808841,33.6,12.4,32.54074074074074,8.11111111111111,10.499397992167795,18.714743130227,4.010071684587813,33.8
2016-02-01,2016,2,25.845466155810985,35.3,11.4,35.737037037037034,8.407407407407407,10.57882929615439,20.39846743295019,4.45367816091954,32.2
2016-03-01,2016,3,27.301911589008363,37.4,14.2,35.2962962962963,8.0,11.166788357891942,23.19941457586619,5.134707287933094,26.7
2016-04-01,2016,4,27.98493827160494,38.0,15.0,71.91111111111111,14.962962962962964,10.944782026748973,22.621925925925925,4.977925925925926,31.0
2016-05-01,2016,5,26.69510155316607,35.9,16.0,460.4074074074074,24.11111111111111,8.456143664542678,16.913584229390683,3.669665471923536,45.5
2016-06-01,2016,6,26.669629629629632,35.6,15.3,93.5,17.51851851851852,10.096888892318242,18.93088888888889,4.3085555555555555,46.9
2016-07-01,2016,7,26.59390681003584,37.6,15.2,99.44074074074072,16.37037037037037,10.414703195937877,19.63237753882915,4.491517323775389,39.2
2016-08-01,2016,8,26.63811230585424,36.8,15.3,72.67407407407407,16.37037037037037,10.85600315279437,20.8689247311828,4.77041816009558,35.9
2016-09-01,2016,9,26.59493827160494,36.1,13.1,55.6074074074074,14.11111111111111,10.578944777091907,21.04641975308642,4.902024691358024,36.3
2016-10-01,2016,10,26.38183990442055,37.5,13.1,105.65555555555557,16.14814814814815,10.614833320058407,20.415555555555557,4.600657108721625,36.1
2016-11-01,2016,11,24.78827160493827,31.9,13.1,246.91111111111113,22.074074074074073,8.394442119341564,15.466246913580246,3.2081851851851853,36.7
2016-12-01,2016,12,24.54408602150538,32.1,12.8,73.35185185185185,12.407407407407408,10.276127943714323,17.85927120669056,3.706332138590203,46.2
2017-01-01,2017,1,24.014934289127837,35.0,5.3,146.84074074074073,12.88888888888889,9.398610291384577,18.306917562724013,3.93700119474313,30.0
2017-02-01,2017,2,24.398015873015876,36.2,6.3,48.577777777777776,8.407407407407407,10.132609402557318,20.729907407407406,4.400740740740741,35.9
2017-03-01,2017,3,25.586977299880523,35.9,8.0,118.58148148148148,19.296296296296298,10.42839526417098,21.431254480286736,4.4047550776583035,31.8
2017-04-01,2017,4,27.3,39.3,10.7,82.42962962962964,13.962962962962964,10.951856083676269,23.111493827160498,5.064864197530865,32.5
2017-05-01,2017,5,27.17407407407407,37.8,12.0,166.72962962962958,21.666666666666668,9.881361147617152,19.387491039426525,4.414109916367981,42.2
2017-06-01,2017,6,26.935555555555556,39.1,13.0,129.3,18.925925925925927,10.23791511659808,18.765913580246913,4.445913580246914,41.2
2017-07-01,2017,7,27.253405017921143,39.5,12.6,104.68148148148148,19.0,10.337333223815213,19.277873357228195,4.638351254480287,40.9
2017-08-01,2017,8,26.51135005973716,38.4,11.7,160.82222222222222,21.40740740740741,9.4878531129696,18.38399044205496,4.242652329749104,40.0
2017-09-01,2017,9,25.927777777777777,37.8,11.4,173.06666666666663,20.51851851851852,9.282737726337448,18.361543209876544,4.028864197530864,41.8
2017-10-01,2017,10,25.738351254480285,36.7,11.7,266.72222222222223,26.0,8.75059341563786,16.79330943847073,3.63347670250896,36.6
2017-11-01,2017,11,24.537283950617287,32.7,10.3,389.05925925925936,24.85185185185185,7.012991056241426,14.044666666666666,2.8818641975308643,49.3
2017-12-01,2017,12,24.322341696535243,32.1,10.0,117.70370370370372,16.48148148148148,9.467093986459576,16.48821983273596,3.3940023894862605,29.3
2018-01-01,2018,1,23.959976105137397,35.0,6.4,47.22592592592592,8.592592592592593,9.747279261250496,18.507001194743133,3.9380286738351256,30.8
2018-02-01,2018,2,24.76878306878307,36.0,9.3,73.10000000000001,12.37037037037037,10.333134461346267,20.12851851851852,4.31005291005291,30.5
2018-03-01,2018,3,25.733811230585424,37.0,9.9,107.91851851851852,18.074074074074073,9.972489738484002,20.42831541218638,4.319008363201912,36.2
2018-04-01,2018,4,26.249382716049382,37.9,11.5,136.58148148148146,22.03703703703704,10.20821816872428,20.737827160493826,4.3362592592592595,23.7
2018-05-01,2018,5,25.950896057347673,38.6,12.4,281.8703703703704,26.51851851851852,8.218543744192221,16.934659498207886,3.6000955794504184,40.4
2018-06-01,2018,6,26.280740740740743,37.3,13.0,156.8148148148148,18.555555555555557,10.04098037037037,19.019024691358023,4.258370370370371,49.4
2018-07-01,2018,7,26.44277180406213,39.4,11.7,105.4074074074074,16.296296296296298,10.151720861542548,19.49703703703704,4.578888888888889,42.6
2018-08-01,2018,8,26.169295101553168,38.8,11.1,110.07037037037036,16.59259259259259,9.740048861675293,19.399438470728793,4.512031063321386,47.9
2018-09-01,2018,9,26.19975308641975,39.3,10.6,151.07407407407408,15.37037037037037,10.156860775034293,20.977728395061728,4.694456790123457,38.5
2018-10-01,2018,10,24.765232974910393,33.1,11.3,427.51111111111106,28.814814814814813,7.764433117615823,15.895244922341696,3.1759139784946235,27.5
2018-11-01,2018,11,24.50913580246914,32.8,9.6,364.6888888888889,24.03703703703704,8.268375205761318,15.56448148148148,3.120740740740741,46.7
2018-12-01,2018,12,24.27383512544803,31.5,9.3,116.16666666666669,15.77777777777778,9.064698848400372,16.77383512544803,3.3995579450418156,29.2
2019-01-01,2019,1,24.212903225806453,35.7,6.4,50.92592592592592,9.703703703703704,10.277958074472322,19.057729988052568,4.049450418160095,29.6
2019-02-01,2019,2,25.137301587301582,36.0,8.5,137.72222222222223,15.962962962962964,10.223752781452086,19.59203703703704,4.077936507936508,35.1
2019-03-01,2019,3,26.27897252090801,38.5,8.4,44.71111111111112,9.11111111111111,10.987465465286071,23.488016726403824,5.092640382317802,31.6
2019-04-01,2019,4,27.08716049382716,38.0,11.1,118.6925925925926,15.88888888888889,9.605431121399178,20.82320987654321,4.5343580246913575,35.5
2019-05-01,2019,5,27.60131421744325,38.8,11.4,71.44444444444444,14.62962962962963,10.562540979689366,20.85021505376344,4.868160095579451,41.0
2019-06-01,2019,6,27.607407407407408,39.1,13.0,112.76666666666668,15.666666666666666,10.03913598079561,19.192456790123455,4.719913580246914,41.6
2019-07-01,2019,7,27.097132616487453,39.8,11.0,91.35555555555555,15.296296296296296,10.36241189765034,19.905256869773,4.747873357228196,49.2
2019-08-01,2019,8,26.305973715651135,38.5,12.5,207.83333333333337,20.703703703703702,8.75700611642108,17.228554360812424,4.048327359617682,42.5
2019-09-01,2019,9,25.829135802469136,38.0,12.3,217.9814814814815,24.333333333333332,9.308988034979423,18.34032098765432,3.9999135802469135,38.5
2019-10-01,2019,10,24.684707287933097,33.0,11.5,446.2851851851852,29.22222222222222,7.022678955927252,15.168781362007168,3.057060931899642,27.0
2019-11-01,2019,11,24.95012345679012,32.3,11.0,229.92962962962963,26.11111111111111,9.403515637860083,17.369481481481483,3.454716049382716,28.7
2019-12-01,2019,12,24.533452807646356,31.6,9.9,222.0148148148148,23.40740740740741,8.656992559405284,15.23205495818399,3.0920310633213863,30.8
2020-01-01,2020,1,24.866427718040622,35.0,8.1,35.46296296296296,11.148148148148149,10.679307032390817,19.835232974910394,4.180872162485065,33.8
2020-02-01,2020,2,25.54367816091954,37.1,8.7,39.285185185185185,8.333333333333334,10.903973052362709,21.708429118773942,4.827918263090677,40.7
2020-03-01,2020,3,26.619713261648748,37.0,9.0,30.65555555555556,7.592592592592593,11.034342954334264,23.400645161290324,5.168757467144564,35.0
2020-04-01,2020,4,26.975061728395065,37.8,10.6,129.98888888888888,20.22222222222222,10.672721124828533,22.053827160493825,4.7376913580246915,28.1
2020-05-01,2020,5,27.07431302270012,37.3,13.4,184.54074074074072,22.074074074074073,9.019299054161689,18.124169653524493,4.016583034647551,43.8
2020-06-01,2020,6,27.07012345679012,38.5,11.6,116.4074074074074,17.296296296296298,9.95355420781893,19.088296296296296,4.403753086419753,39.3
2020-07-01,2020,7,26.37574671445639,37.5,12.4,152.52592592592595,20.48148148148148,9.078961413115625,17.43378733572282,3.915722819593787,38.4
2020-08-01,2020,8,26.58183990442055,38.8,11.0,106.85185185185183,14.592592592592592,9.914153697066242,20.05278375149343,4.572078853046595,43.4
2020-09-01,2020,9,25.79074074074074,36.9,11.8,215.6814814814815,21.62962962962963,7.988970222908092,16.36483950617284,3.688432098765432,41.5
2020-10-01,2020,10,26.279091995221027,39.3,10.9,107.62592592592593,18.333333333333332,10.502320128103014,20.286403823178016,4.526618876941458,42.8
2020-11-01,2020,11,25.08407407407407,34.6,10.5,274.7851851851851,25.25925925925926,8.593452866941014,16.191395061728397,3.3017654320987653,33.0
2020-12-01,2020,12,24.260812425328552,32.2,9.4,328.14074074074074,22.96296296296296,8.186538195274128,15.054970131421744,3.0599641577060934,60.7
2021-01-01,2021,1,24.084109916367986,31.8,7.8,305.01111111111106,22.22222222222222,8.01223636001593,15.325017921146957,3.077658303464755,37.6
2021-02-01,2021,2,24.60992063492063,36.3,8.8,45.803703703703704,10.407407407407408,10.754679559817754,20.968068783068784,4.324074074074074,29.6
2021-03-01,2021,3,25.527240143369173,36.2,7.1,114.44814814814816,16.074074074074073,9.764480708217178,20.53426523297491,4.3707885304659495,30.8
2021-04-01,2021,4,26.35074074074074,37.8,9.6,139.86296296296297,18.48148148148148,10.590717719478738,21.803691358024693,4.592555555555555,32.4
2021-05-01,2021,5,26.356152927120668,37.2,12.9,270.9185185185185,24.444444444444443,8.824277094119209,17.940095579450418,3.9063918757467144,45.5
2021-06-01,2021,6,26.42703703703704,37.8,11.7,135.70740740740743,16.88888888888889,10.241626052812071,19.58508641975309,4.388802469135802,39.5
2021-07-01,2021,7,26.480167264038233,38.1,11.5,152.8148148148148,19.074074074074073,10.035993359219434,19.09326164874552,4.372556750298686,45.4
2021-08-01,2021,8,26.173357228195936,38.2,10.5,150.7037037037037,20.14814814814815,9.281493747510952,18.53409796893668,4.1990919952210275,37.9
2021-09-01,2021,9,26.21160493827161,37.8,11.8,158.91111111111113,21.48148148148148,9.599454698216736,19.07972839506173,4.259493827160494,47.1
2021-10-01,2021,10,25.332138590203105,35.8,12.1,278.4,25.11111111111111,8.63790509757069,17.564982078853046,3.6884707287933094,41.5
2021-11-01,2021,11,24.365061728395062,33.5,10.0,427.3777777777778,26.925925925925927,6.782470631001372,14.440074074074072,2.9260493827160494,35.8
2021-12-01,2021,12,24.4415770609319,33.6,7.5,103.32592592592592,17.62962962962963,9.852105223682464,18.46284348864994,3.756821983273596,30.7
2022-01-01,2022,1,24.333452807646353,34.6,6.6,79.39259259259259,16.14814814814815,10.050922418027346,19.505256869773,3.973847072879331,29.2
2022-02-01,2022,2,24.69126984126984,34.9,7.6,79.60370370370372,11.11111111111111,9.95848259112287,21.214708994708996,4.435978835978836,27.7
2022-03-01,2022,3,25.770967741935483,35.5,10.5,59.69259259259258,16.555555555555557,10.201836081242533,21.651875746714456,4.57,31.9
2022-04-01,2022,4,25.61740740740741,34.3,10.9,202.30740740740737,25.96296296296296,9.503278967764064,20.255123456790127,4.1158271604938275,28.6
2022-05-01,2022,5,26.48757467144564,37.1,13.6,213.74444444444447,19.814814814814813,9.514996717775125,19.586021505376344,4.3536559139784945,42.1
2022-06-01,2022,6,26.23222222222222,37.0,12.4,124.10370370370369,19.22222222222222,9.639822321673526,19.14904938271605,4.2830864197530865,42.9
2022-07-01,2022,7,26.23273596176822,38.0,12.2,123.77407407407406,18.48148148148148,8.95918853046595,18.739330943847072,4.2962007168458785,43.1
2022-08-01,2022,8,25.684587813620073,36.9,11.1,193.66666666666663,21.25925925925926,9.281554533386434,19.427443249701316,4.245890083632019,45.9
2022-09-01,2022,9,25.752222222222223,37.6,10.5,98.95185185185184,16.77777777777778,9.9764180829904,21.314691358024692,4.598962962962963,40.0
2022-10-01,2022,10,24.89163679808841,36.8,10.4,295.11111111111114,25.96296296296296,8.194988298154787,17.328076463560336,3.6061768219832735,42.1
2022-11-01,2022,11,24.250864197530863,33.1,9.6,239.3592592592593,18.74074074074074,8.210116035665294,16.932876543209876,3.4289506172839506,31.4
2022-12-01,2022,12,23.920908004778973,32.6,8.0,215.6962962962963,22.185185185185187,7.868798171379264,15.54121863799283,3.2044324970131424,41.5
2023-01-01,2023,1,23.56953405017921,32.4,6.2,103.34074074074071,13.814814814814817,9.35084146090535,18.494062126642778,3.812951015531661,28.7
2023-02-01,2023,2,24.21732804232804,34.1,6.1,117.72222222222224,13.22222222222222,9.727644201940036,20.465039682539683,4.152261904761905,44.3
2023-03-01,2023,3,25.44014336917563,35.4,10.5,101.71481481481482,18.074074074074073,10.236548420284082,21.96173237753883,4.543154121863799,34.7
2023-04-01,2023,4,26.40691358024691,36.8,10.4,125.12592592592593,18.25925925925926,10.25946729766804,22.379345679012346,4.719345679012346,26.6
2023-05-01,2023,5,26.61672640382318,37.0,11.9,151.91851851851848,19.88888888888889,9.052870496482146,19.442508960573477,4.1923655913978495,39.3
2023-06-01,2023,6,27.14296296296296,37.9,12.9,117.73703703703704,18.666666666666668,10.179046608367628,20.140827160493828,4.662617283950617,37.4
2023-07-01,2023,7,26.840979689366787,39.3,11.8,118.34444444444443,17.333333333333332,9.548847059604409,19.37148148148148,4.611099163679809,43.9
2023-08-01,2023,8,27.261409796893663,39.5,11.4,74.89629629629628,15.77777777777778,10.886052190362406,22.576105137395466,5.263297491039427,35.1
2023-09-01,2023,9,25.915185185185184,37.0,12.0,254.3555555555556,24.48148148148148,8.70759411179698,18.487765432098765,4.146185185185185,41.1
2023-10-01,2023,10,25.041696535244924,35.2,11.7,390.61851851851856,27.88888888888889,8.155679135138724,17.433476702508962,3.5616367980884114,37.3
2023-11-01,2023,11,24.58407407407407,32.2,10.8,515.1407407407407,29.11111111111111,7.543883251028808,15.49683950617284,3.07637037037037,26.1
2023-12-01,2023,12,24.70310633213859,32.4,10.1,347.7074074074075,27.074074074074073,7.775822411389885,15.059247311827956,3.05715651135006,35.0
2024-01-01,2024,1,24.61350059737157,33.2,6.6,164.60370370370367,17.22222222222222,9.050596405814415,17.903405017921145,3.690406212664277,34.3
2024-02-01,2024,2,25.937037037037037,37.3,10.1,38.696296296296296,9.62962962962963,10.865918103448278,22.239182630906768,4.844712643678161,36.2
2024-03-01,2024,3,26.72258064516129,38.3,9.8,58.05925925925926,8.407407407407407,10.914837687508298,23.9563082437276,5.247909199522103,29.8
2024-04-01,2024,4,27.57950617283951,39.4,11.3,112.4925925925926,16.814814814814813,10.575852921810698,22.987333333333336,4.997975308641975,30.3
2024-05-01,2024,5,27.09545997610514,40.3,13.7,371.0,23.77777777777778,8.357931302270012,18.273715651135007,3.99505376344086,48.3
2024-06-01,2024,6,26.601388888888888,36.4,12.8,53.1,6.333333333333333,9.251713567386831,18.447453703703705,3.945740740740741,36.0
