date,year,month,crop_name,farm_price,retail_price_pettah,retail_price_dambulla,average_spread,spread_pct
2007-07-01,2007,7,Beans,79.85,107.72,113.39,30.71,38.4595636073092
2007-08-01,2007,8,Beans,75.65,97.58,108.33,27.3,36.08719618348158
2007-09-01,2007,9,Beans,89.48,113.26,124.56,29.43,32.88999453509774
2007-10-01,2007,10,Beans,83.98,103.71,116.21,25.98,30.935900290664097
2007-11-01,2007,11,Beans,89.33,122.23,123.93,33.75,37.78121820080801
2007-12-01,2007,12,Beans,78.53,99.43,99.95,21.16,26.945082204148473
2008-01-01,2008,1,Beans,67.62,84.85,90.62,20.11,29.739677995152324
2008-02-01,2008,2,Beans,85.36,107.32,107.35,21.97,25.7380204568645
2008-03-01,2008,3,Beans,85.01,114.81,117.75,31.27,36.783864505511694
2008-04-01,2008,4,Beans,82.79,105.02,113.36,26.4,31.887870651201045
2008-05-01,2008,5,Beans,84.34,111.56,116.2,29.54,35.02485768928422
2008-06-01,2008,6,Beans,86.75,116.66,117.81,30.48,35.13540618396981
2008-07-01,2008,7,Beans,96.56,121.89,135.73,32.25,33.39888836072042
2008-08-01,2008,8,Beans,78.25,104.12,108.4,28.01,35.79548141152535
2008-09-01,2008,9,Beans,75.05,91.79,97.34,19.52,26.00929245930385
2008-10-01,2008,10,Beans,78.6,95.78,101.8,20.19,25.686990220114225
2008-11-01,2008,11,Beans,85.02,107.81,116.17,26.97,31.721910465878068
2008-12-01,2008,12,Beans,81.54,113.09,108.55,29.28,35.90871240040176
2009-01-01,2009,1,Beans,77.02,107.26,100.46,26.84,34.84804615937917
2009-02-01,2009,2,Beans,90.6,116.84,124.22,29.93,33.03528362551476
2009-03-01,2009,3,Beans,85.54,107.31,121.87,29.05,33.96068042941264
2009-04-01,2009,4,Beans,101.02,134.57,126.95,29.74,29.439685765506074
2009-05-01,2009,5,Beans,93.85,130.66,122.2,32.58,34.71493370811539
2009-06-01,2009,6,Beans,87.45,122.31,114.87,31.14,35.60887866337488
2009-07-01,2009,7,Beans,87.73,113.38,121.07,29.49,33.614460715307516
2009-08-01,2009,8,Beans,101.92,126.16,131.18,26.75,26.246049601599687
2009-09-01,2009,9,Beans,77.85,100.78,105.67,25.38,32.60111419253155
2009-10-01,2009,10,Beans,76.11,102.85,103.46,27.04,35.527479270162566
2009-11-01,2009,11,Beans,75.26,92.02,105.17,23.33,30.999161574326894
2009-12-01,2009,12,Beans,80.76,111.06,109.72,29.63,36.688909498626174
2010-01-01,2010,1,Beans,88.38,121.54,127.95,36.37,41.15179774632525
2010-02-01,2010,2,Beans,99.78,119.77,138.79,29.5,29.565013464608676
2010-03-01,2010,3,Beans,94.49,128.47,136.98,38.24,40.46984816398756
2010-04-01,2010,4,Beans,96.26,127.23,139.19,36.95,38.38558239602909
2010-05-01,2010,5,Beans,85.56,106.08,122.74,28.85,33.718988173225604
2010-06-01,2010,6,Beans,104.19,130.7,150.34,36.33,34.8689558796853
2010-07-01,2010,7,Beans,93.76,114.16,132.8,29.72,31.697918410923194
2010-08-01,2010,8,Beans,114.5,155.95,161.81,44.38,38.75979147616465
2010-09-01,2010,9,Beans,80.21,104.01,111.39,27.49,34.27249186823106
2010-10-01,2010,10,Beans,85.22,112.47,107.9,24.97,29.30059927176804
2010-11-01,2010,11,Beans,100.55,125.91,133.23,29.02,28.86123434984152
2010-12-01,2010,12,Beans,82.3,109.71,104.2,24.66,29.96351158747073
2011-01-01,2011,1,Beans,100.53,135.62,133.76,34.16,33.97987269484462
2011-02-01,2011,2,Beans,118.36,151.67,149.81,32.38,27.357192161885635
2011-03-01,2011,3,Beans,119.79,164.0,167.72,46.07,38.45893775862947
2011-04-01,2011,4,Beans,113.29,158.04,143.9,37.68,33.25974643856788
2011-05-01,2011,5,Beans,104.04,127.4,144.49,31.9,30.661254650850967
2011-06-01,2011,6,Beans,100.32,129.33,130.42,29.56,29.465680357176677
2011-07-01,2011,7,Beans,93.5,118.42,118.45,24.94,26.67376826334945
2011-08-01,2011,8,Beans,111.5,152.06,143.99,36.53,32.76230245533412
2011-09-01,2011,9,Beans,91.12,121.58,131.32,35.33,38.77300398046095
2011-10-01,2011,10,Beans,98.53,129.39,141.38,36.85,37.399738760033735
2011-11-01,2011,11,Beans,105.76,145.3,132.53,33.16,31.353979430806127
2011-12-01,2011,12,Beans,85.35,108.07,119.74,28.56,33.46217520541862
2012-01-01,2012,1,Beans,101.73,135.55,136.7,34.39,33.80513731923983
2012-02-01,2012,2,Beans,95.13,116.53,122.74,24.51,25.76471589959435
2012-03-01,2012,3,Beans,90.6,125.44,124.0,34.12,37.66000258277861
2012-04-01,2012,4,Beans,120.51,149.51,166.43,37.46,31.08453150399842
2012-05-01,2012,5,Beans,119.1,151.1,159.42,36.16,30.36101564986091
2012-06-01,2012,6,Beans,104.07,128.06,150.34,35.13,33.75609324868527
2012-07-01,2012,7,Beans,94.85,122.89,124.15,28.67,30.22664182747304
2012-08-01,2012,8,Beans,89.44,117.33,118.05,28.25,31.58538507895228
2012-09-01,2012,9,Beans,116.62,146.33,148.63,30.86,26.461990685996668
2012-10-01,2012,10,Beans,112.03,151.37,147.16,37.24,33.241066463387966
2012-11-01,2012,11,Beans,107.13,141.1,136.64,31.74,29.627527650958974
2012-12-01,2012,12,Beans,111.65,150.1,145.92,36.36,32.56602546706183
2013-01-01,2013,1,Beans,95.83,123.29,134.38,33.01,34.44637958219807
2013-02-01,2013,2,Beans,112.73,146.44,160.86,40.92,36.29908959541418
2013-03-01,2013,3,Beans,111.17,137.29,157.32,36.13,32.4997458849097
2013-04-01,2013,4,Beans,124.18,156.74,176.1,42.24,34.015111922119566
2013-05-01,2013,5,Beans,135.22,168.62,188.65,43.42,32.11061077458159
2013-06-01,2013,6,Beans,119.45,148.21,153.64,31.47,26.345729304538047
2013-07-01,2013,7,Beans,120.04,161.79,159.27,40.49,33.7303950929731
2013-08-01,2013,8,Beans,131.06,172.69,186.34,48.46,36.975402887682826
2013-09-01,2013,9,Beans,106.43,133.26,150.1,35.25,33.120329681171015
2013-10-01,2013,10,Beans,114.46,154.88,144.97,35.47,30.988964713467837
2013-11-01,2013,11,Beans,98.9,126.55,141.58,35.16,35.55102573202655
2013-12-01,2013,12,Beans,122.64,161.27,157.51,36.75,29.965728990762404
2014-01-01,2014,1,Beans,112.36,155.45,152.08,41.4,36.845819823941056
2014-02-01,2014,2,Beans,142.26,191.49,185.54,46.26,32.517902068113266
2014-03-01,2014,3,Beans,132.53,177.24,169.17,40.67,30.68736837895693
2014-04-01,2014,4,Beans,114.09,139.23,149.75,30.4,26.64560728757359
2014-05-01,2014,5,Beans,121.61,158.5,174.73,45.0,37.00350546541776
2014-06-01,2014,6,Beans,110.3,154.01,156.4,44.9,40.70712537885278
2014-07-01,2014,7,Beans,108.33,150.31,153.37,43.51,40.16427567222775
2014-08-01,2014,8,Beans,128.93,167.65,185.09,47.44,36.795131625586265
2014-09-01,2014,9,Beans,94.54,129.97,125.86,33.37,35.297191350548594
2014-10-01,2014,10,Beans,112.86,150.4,154.76,39.72,35.19401453658113
2014-11-01,2014,11,Beans,121.36,147.65,158.86,31.9,26.285410114197333
2014-12-01,2014,12,Beans,123.07,148.91,169.16,35.97,29.227245285410508
2015-01-01,2015,1,Beans,123.33,148.03,165.8,33.59,27.235849156045443
2015-02-01,2015,2,Beans,149.93,180.71,211.25,46.05,30.71431286979732
2015-03-01,2015,3,Beans,150.17,197.48,189.03,43.09,28.694127526052128
2015-04-01,2015,4,Beans,160.22,220.89,204.36,52.4,32.70501017038436
2015-05-01,2015,5,Beans,113.06,141.1,143.1,29.04,25.685454019587812
2015-06-01,2015,6,Beans,108.38,136.05,142.97,31.13,28.722985123652773
2015-07-01,2015,7,Beans,103.3,134.01,144.91,36.16,35.00480638450495
2015-08-01,2015,8,Beans,141.17,170.99,177.21,32.93,23.32646927359264
2015-09-01,2015,9,Beans,140.68,171.6,180.65,35.44,25.19190702878374
2015-10-01,2015,10,Beans,113.2,151.85,163.4,44.42,39.240248020982314
2015-11-01,2015,11,Beans,103.15,129.23,129.04,25.98,25.18659700766165
2015-12-01,2015,12,Beans,127.92,174.15,161.23,39.77,31.089719285710377
2016-01-01,2016,1,Beans,126.12,154.34,171.84,36.97,29.31332912041776
2016-02-01,2016,2,Beans,168.45,210.43,230.18,51.86,30.786565279569437
2016-03-01,2016,3,Beans,143.84,173.0,192.89,39.1,27.182962192045196
2016-04-01,2016,4,Beans,168.31,202.06,216.32,40.88,24.28850080892353
2016-05-01,2016,5,Beans,125.35,153.67,176.95,39.96,31.87871409755557
2016-06-01,2016,6,Beans,143.32,183.25,197.98,47.3,33.00304702550444
2016-07-01,2016,7,Beans,121.73,169.35,157.78,41.83,34.3629061341443
2016-08-01,2016,8,Beans,141.65,189.01,199.69,52.7,37.20435072054308
2016-09-01,2016,9,Beans,126.53,160.8,165.53,36.64,28.95753658615618
2016-10-01,2016,10,Beans,128.38,175.79,164.13,41.58,32.38819723617601
2016-11-01,2016,11,Beans,125.59,175.49,165.58,44.95,35.79103766937043
2016-12-01,2016,12,Beans,144.9,201.14,187.76,49.55,34.19597363976974
2017-01-01,2017,1,Beans,117.0,145.98,166.46,39.22,33.52133887065054
2017-02-01,2017,2,Beans,183.55,243.75,264.4,70.52,38.42002810131947
2017-03-01,2017,3,Beans,148.45,194.14,192.87,45.06,30.35363398205862
2017-04-01,2017,4,Beans,119.54,145.79,167.04,36.87,30.84320658925331
2017-05-01,2017,5,Beans,186.47,226.66,244.21,48.96,26.25622016612851
2017-06-01,2017,6,Beans,164.08,219.5,229.87,60.6,36.933180806203794
2017-07-01,2017,7,Beans,163.44,205.19,216.63,47.47,29.044279830959475
2017-08-01,2017,8,Beans,146.3,199.87,188.97,48.12,32.89129672501932
2017-09-01,2017,9,Beans,157.81,200.44,205.62,45.22,28.654693204047145
2017-10-01,2017,10,Beans,122.6,167.31,160.1,41.1,33.52362681596508
2017-11-01,2017,11,Beans,152.09,190.38,197.81,42.0,27.615209668479405
2017-12-01,2017,12,Beans,155.45,196.07,204.79,44.98,28.9353303728978
2018-01-01,2018,1,Beans,205.01,271.23,270.26,65.74,32.066712810734685
2018-02-01,2018,2,Beans,197.84,247.83,256.16,54.16,27.375643259379668
2018-03-01,2018,3,Beans,167.63,210.11,222.98,48.92,29.1833029986858
2018-04-01,2018,4,Beans,191.97,256.12,248.03,60.1,31.30695873992877
2018-05-01,2018,5,Beans,171.51,212.16,238.85,54.0,31.48502624626771
2018-06-01,2018,6,Beans,121.72,150.41,172.23,39.6,32.533657136331634
2018-07-01,2018,7,Beans,152.96,186.01,201.03,40.56,26.516719065952493
2018-08-01,2018,8,Beans,154.47,195.44,217.78,52.14,33.75410516339408
2018-09-01,2018,9,Beans,150.76,187.07,208.58,47.07,31.221788788943496
2018-10-01,2018,10,Beans,153.36,205.47,196.95,47.85,31.201075116669845
2018-11-01,2018,11,Beans,124.35,163.33,158.28,36.46,29.320442846447246
2018-12-01,2018,12,Beans,120.28,160.89,163.66,41.99,34.91018048704649
2019-01-01,2019,1,Beans,163.43,225.04,216.38,57.28,35.04862323403094
2019-02-01,2019,2,Beans,205.86,251.13,265.91,52.66,25.580479170077155
2019-03-01,2019,3,Beans,184.81,224.55,246.29,50.61,27.38486695261785
2019-04-01,2019,4,Beans,205.75,268.35,290.42,73.64,35.79099111008938
2019-05-01,2019,5,Beans,153.34,192.66,214.06,50.02,32.62029958243147
2019-06-01,2019,6,Beans,140.7,189.84,195.54,51.99,36.95093322606026
2019-07-01,2019,7,Beans,157.73,219.63,218.05,61.11,38.74339774082435
2019-08-01,2019,8,Beans,142.85,195.75,200.65,55.35,38.74691022267398
2019-09-01,2019,9,Beans,118.34,164.54,170.31,49.08,41.473684744224485
2019-10-01,2019,10,Beans,153.63,201.86,214.7,54.65,35.57245617883474
2019-11-01,2019,11,Beans,181.94,229.91,262.06,64.04,35.19839771441261
2019-12-01,2019,12,Beans,176.38,220.71,225.68,46.82,26.544944696142025
2020-01-01,2020,1,Beans,160.48,215.04,214.16,54.12,33.72380750011995
2020-02-01,2020,2,Beans,183.42,232.77,230.35,48.14,26.245760415570597
2020-03-01,2020,3,Beans,201.31,274.94,260.3,66.31,32.939231563642366
2020-04-01,2020,4,Beans,189.25,230.46,274.35,63.16,33.37382648674954
2020-05-01,2020,5,Beans,199.63,276.86,253.64,65.62,32.870794534491544
2020-06-01,2020,6,Beans,173.97,228.65,233.4,57.06,32.79873955352098
2020-07-01,2020,7,Beans,179.59,233.81,250.09,62.36,34.723517610380526
2020-08-01,2020,8,Beans,196.65,235.98,274.6,58.64,29.81946106307599
2020-09-01,2020,9,Beans,130.23,166.96,186.67,46.59,35.77513954147313
2020-10-01,2020,10,Beans,140.36,178.87,200.6,49.37,35.17381364077112
2020-11-01,2020,11,Beans,189.7,239.23,242.53,51.18,26.979427000829205
2020-12-01,2020,12,Beans,201.49,280.28,257.69,67.49,33.49544220783056
2021-01-01,2021,1,Beans,214.94,266.01,284.67,60.4,28.100852283961903
2021-02-01,2021,2,Beans,197.3,259.39,279.65,72.22,36.60413755492268
2021-03-01,2021,3,Beans,178.11,238.25,234.32,58.17,32.65957404998369
2021-04-01,2021,4,Beans,167.46,219.27,236.19,60.27,35.99066285043423
2021-05-01,2021,5,Beans,149.91,204.74,195.26,50.09,33.41335907320454
2021-06-01,2021,6,Beans,160.16,223.87,231.79,67.67,42.25147212070922
2021-07-01,2021,7,Beans,221.25,268.89,317.02,71.7,32.40676501389152
2021-08-01,2021,8,Beans,160.76,224.65,216.81,59.97,37.304032530459985
2021-09-01,2021,9,Beans,237.7,309.62,328.4,81.31,34.206969201948176
2021-10-01,2021,10,Beans,213.33,284.15,307.15,82.32,38.58808485066101
2021-11-01,2021,11,Beans,194.25,243.73,246.09,50.66,26.079780653909573
2021-12-01,2021,12,Beans,191.55,264.99,247.29,64.59,33.71963783887348
2022-01-01,2022,1,Beans,183.5,230.77,254.31,59.04,32.17436938726464
2022-02-01,2022,2,Beans,194.99,237.09,264.85,55.98,28.709149849146183
2022-03-01,2022,3,Beans,303.36,396.0,394.32,91.8,30.26106597406844
2022-04-01,2022,4,Beans,267.38,367.2,341.39,86.92,32.508028832362626
2022-05-01,2022,5,Beans,202.87,245.64,263.81,51.85,25.558226668198024
2022-06-01,2022,6,Beans,182.88,232.69,243.57,55.25,30.211050846975695
2022-07-01,2022,7,Beans,151.03,181.88,200.08,39.95,26.45168082388875
2022-08-01,2022,8,Beans,267.82,335.37,381.89,90.81,33.90708912437865
2022-09-01,2022,9,Beans,221.95,292.16,310.34,79.3,35.72875164282422
2022-10-01,2022,10,Beans,143.11,171.9,184.48,35.08,24.51259554706481
2022-11-01,2022,11,Beans,169.34,222.72,222.88,53.46,31.569604600446084
2022-12-01,2022,12,Beans,201.58,259.66,279.15,67.82,33.64419404494788
2023-01-01,2023,1,Beans,229.26,288.04,296.82,63.17,27.55385695112233
2023-02-01,2023,2,Beans,178.45,245.84,258.51,73.73,41.3168723357398
2023-03-01,2023,3,Beans,200.94,256.7,275.22,65.02,32.35790168313841
2023-04-01,2023,4,Beans,174.04,239.66,250.6,71.09,40.84690826999066
2023-05-01,2023,5,Beans,183.34,248.28,237.82,59.71,32.56788885792034
2023-06-01,2023,6,Beans,188.3,260.68,253.81,68.94,36.611770253972246
2023-07-01,2023,7,Beans,167.37,212.55,221.43,49.62,29.646872410305065
2023-08-01,2023,8,Beans,216.58,289.44,309.13,82.7,38.18448694039757
2023-09-01,2023,9,Beans,180.57,218.6,246.29,51.88,28.731224050936454
2023-10-01,2023,10,Beans,283.1,363.42,380.77,88.99,31.43411111476117
2023-11-01,2023,11,Beans,199.95,251.03,263.33,57.23,28.62214122423545
2023-12-01,2023,12,Beans,219.43,288.88,275.04,62.53,28.49654628056953
2024-01-01,2024,1,Beans,267.67,340.87,343.85,74.69,27.90375167043312
2024-02-01,2024,2,Beans,327.03,405.77,472.71,112.21,34.311826342590486
2024-03-01,2024,3,Beans,297.64,369.92,386.68,80.66,27.099843065500924
2024-04-01,2024,4,Beans,243.47,296.68,325.58,67.66,27.789860027987007
2024-05-01,2024,5,Beans,293.37,373.2,377.43,81.94,27.9305900635409
2024-06-01,2024,6,Beans,230.37,309.9,300.25,74.7,32.42608307241261
2024-07-01,2024,7,Beans,169.0,231.32,238.47,65.9,38.99405976682854
2024-08-01,2024,8,Beans,227.21,298.23,328.51,86.16,37.92084946927975
2024-09-01,2024,9,Beans,180.72,239.27,230.09,53.96,29.858327878304625
2024-10-01,2024,10,Beans,229.41,286.75,322.68,75.31,32.82767410850699
2024-11-01,2024,11,Beans,161.37,196.22,228.2,50.84,31.505216889622055
2024-12-01,2024,12,Beans,264.65,344.32,337.79,76.41,28.872084310567057
2025-01-01,2025,1,Beans,177.96,243.11,257.62,72.4,40.68327675698091
2025-02-01,2025,2,Beans,325.43,439.8,426.38,107.66,33.08237314249665
2025-03-01,2025,3,Beans,303.36,381.88,408.5,91.83,30.27095521131487
2025-04-01,2025,4,Beans,186.4,253.76,238.84,59.9,32.13517589314598
2025-05-01,2025,5,Beans,200.18,255.88,264.88,60.2,30.07291933613781
2025-06-01,2025,6,Beans,241.82,330.42,320.16,83.47,34.51739536953297
2025-07-01,2025,7,Beans,194.88,236.27,254.99,50.75,26.041653303749328
2025-08-01,2025,8,Beans,155.39,210.51,223.17,61.45,39.54563385955734
2000-01-01,2000,1,Brinjal,40.85,54.25,55.08,13.81,33.8065267894081
2000-02-01,2000,2,Brinjal,44.85,61.58,64.22,18.05,40.245172251566885
2000-03-01,2000,3,Brinjal,42.39,52.7,54.45,11.19,26.39767304158282
2000-04-01,2000,4,Brinjal,42.66,52.84,59.28,13.4,31.411084362202622
2000-05-01,2000,5,Brinjal,39.71,51.16,54.74,13.24,33.34164356171351
2000-06-01,2000,6,Brinjal,42.03,57.52,58.38,15.92,37.877616279761405
2000-07-01,2000,7,Brinjal,42.13,57.53,56.83,15.05,35.722678085264455
2000-08-01,2000,8,Brinjal,37.73,51.22,53.71,14.74,39.06695185011437
2000-09-01,2000,9,Brinjal,36.68,44.44,49.05,10.06,27.426315631636772
2000-10-01,2000,10,Brinjal,40.56,56.57,51.87,13.66,33.67841795261845
2000-11-01,2000,11,Brinjal,41.76,57.74,55.79,15.01,35.94340051867692
2000-12-01,2000,12,Brinjal,40.93,53.46,57.7,14.65,35.79272955599913
2001-01-01,2001,1,Brinjal,44.1,60.58,61.53,16.95,38.435286994814064
2001-02-01,2001,2,Brinjal,40.72,51.21,55.2,12.49,30.67281268955626
2001-03-01,2001,3,Brinjal,44.44,53.68,63.61,14.21,31.975625617404106
2001-04-01,2001,4,Brinjal,46.9,64.7,66.27,18.58,39.616120221492054
2001-05-01,2001,5,Brinjal,46.62,56.21,63.98,13.48,28.914566892820908
2001-06-01,2001,6,Brinjal,41.24,56.39,58.82,16.36,39.67012689105991
2001-07-01,2001,7,Brinjal,44.3,56.51,63.02,15.47,34.92091439974176
2001-08-01,2001,8,Brinjal,45.39,60.97,62.14,16.16,35.60247719216304
2001-09-01,2001,9,Brinjal,43.01,55.21,58.9,14.05,32.66674571786627
2001-10-01,2001,10,Brinjal,42.22,52.62,54.85,11.52,27.285581985831392
2001-11-01,2001,11,Brinjal,41.34,53.02,52.93,11.63,28.132491213132045
2001-12-01,2001,12,Brinjal,42.8,58.26,60.75,16.71,39.0419648552223
2002-01-01,2002,1,Brinjal,46.5,62.68,60.63,15.16,32.60208042563349
2002-02-01,2002,2,Brinjal,45.08,60.61,63.1,16.78,37.2226326028558
2002-03-01,2002,3,Brinjal,52.64,71.78,66.92,16.71,31.743860668957694
2002-04-01,2002,4,Brinjal,42.72,56.98,54.25,12.9,30.196558528655125
2002-05-01,2002,5,Brinjal,43.75,53.41,60.14,13.02,29.759931977298333
2002-06-01,2002,6,Brinjal,43.47,57.93,59.02,15.01,34.52948118361816
2002-07-01,2002,7,Brinjal,47.18,56.93,64.72,13.64,28.910494043039332
2002-08-01,2002,8,Brinjal,42.29,55.32,55.23,12.98,30.692762608742942
2002-09-01,2002,9,Brinjal,47.11,60.85,61.95,14.29,30.333198188923387
2002-10-01,2002,10,Brinjal,47.02,65.6,66.83,19.19,40.81233344888675
2002-11-01,2002,11,Brinjal,44.63,56.39,57.3,12.21,27.35821788434263
2002-12-01,2002,12,Brinjal,41.12,54.13,57.85,14.87,36.1623634183769
2003-01-01,2003,1,Brinjal,51.56,67.57,68.93,16.69,32.36999152445399
