productname,date,farmprice,retailpricepettah,retailpricedambulla,averagespread
Pumpkin,10/1/2000,30.51,37.43,44.19,10.3
Snake Gourd,10/1/2000,33.28,42.02,44.86,10.16
Green Chilli,10/1/2000,64.69,78.15,87.52,18.15
Lime,10/1/2000,79.68,109.56,109.97,30.08
Beans,11/1/2000,51.53,66.44,67,15.19
Carrot,11/1/2000,50.72,67.72,72.93,19.61
Cabbage,11/1/2000,44.58,54.84,59.14,12.41
Tomato,11/1/2000,54.19,74.33,76.13,21.04
Brinjal,11/1/2000,41.76,57.74,55.79,15.01
Pumpkin,11/1/2000,30.94,39.65,39.06,8.41
Snake Gourd,11/1/2000,36.18,46.52,45.65,9.91
Green Chilli,11/1/2000,69.99,84.63,96.14,20.4
Lime,11/1/2000,74.19,94.35,98.87,22.42
Beans,12/1/2000,45.46,60.89,64.4,17.19
Carrot,12/1/2000,54.13,70.63,72.73,17.55
Cabbage,12/1/2000,45.51,59.2,59.57,13.88
Tomato,12/1/2000,53.22,71.41,67.61,16.29
Brinjal,12/1/2000,40.93,53.46,57.7,14.65
Pumpkin,12/1/2000,27.62,37.09,36.52,9.19
Snake Gourd,12/1/2000,35.7,47,51.14,13.37
Green Chilli,12/1/2000,68.14,90.98,89.42,22.06
Lime,12/1/2000,85.7,109.9,109.13,23.82
Beans,1/1/2001,58.04,70.39,72.81,13.56
Carrot,1/1/2001,65.73,84.26,91.12,21.96
Cabbage,1/1/2001,48.64,62.42,68.52,16.83
Tomato,1/1/2001,55.69,71.1,71.46,15.59
Brinjal,1/1/2001,44.1,60.58,61.53,16.95
Pumpkin,1/1/2001,30.4,40.24,38.97,9.21
Snake Gourd,1/1/2001,41.11,50.57,58.56,13.46
Green Chilli,1/1/2001,85.04,114.64,122.69,33.62
Lime,1/1/2001,89.98,108.67,125.27,26.99
Beans,2/1/2001,55.2,69.92,76.99,18.25
Carrot,2/1/2001,58.95,78.04,76.65,18.4
Cabbage,2/1/2001,46.93,56.91,64.67,13.86
Tomato,2/1/2001,61.02,84.6,83.77,23.16
Brinjal,2/1/2001,40.72,51.21,55.2,12.49
Pumpkin,2/1/2001,35.48,49.1,47.62,12.88
Snake Gourd,2/1/2001,37.42,45.45,50.24,10.42
Green Chilli,2/1/2001,75.71,99.6,103.21,25.7
Lime,2/1/2001,82,98.66,115.6,25.13
Beans,3/1/2001,56.36,77.03,76.13,20.22
Carrot,3/1/2001,59.06,82,79.64,21.76
Cabbage,3/1/2001,44.68,57.71,63.6,15.98
Tomato,3/1/2001,58.64,73.79,83.83,20.17
Brinjal,3/1/2001,44.44,53.68,63.61,14.21
Pumpkin,3/1/2001,31.52,41.75,43.21,10.96
Snake Gourd,3/1/2001,36.93,48.33,52.87,13.67
Green Chilli,3/1/2001,84.2,117.63,117.04,33.14
Lime,3/1/2001,99.93,139.77,135.89,37.9
Beans,4/1/2001,58.46,72.71,82.88,19.33
Carrot,4/1/2001,63.17,86.84,89.32,24.91
Cabbage,4/1/2001,52.75,68.24,72.49,17.61
Tomato,4/1/2001,66.64,83.01,87.69,18.71
Brinjal,4/1/2001,46.9,64.7,66.27,18.58
Pumpkin,4/1/2001,32.9,40.44,46.83,10.74
Snake Gourd,4/1/2001,37.77,51.24,48.34,12.02
Green Chilli,4/1/2001,86.71,117.43,109.95,26.98
Lime,4/1/2001,90.83,122.39,123.42,32.08
Beans,5/1/2001,53.66,68.43,73.84,17.48
Carrot,5/1/2001,73.24,98.3,104.07,27.94
Cabbage,5/1/2001,55.01,70.25,77.14,18.69
Tomato,5/1/2001,57.07,71.29,75.61,16.38
Brinjal,5/1/2001,46.62,56.21,63.98,13.48
Pumpkin,5/1/2001,36.46,50.76,46.94,12.39
Snake Gourd,5/1/2001,37.59,46.36,52.72,11.95
Green Chilli,5/1/2001,76.39,100.49,103.15,25.43
Lime,5/1/2001,89.8,122.06,116.06,29.26
Beans,6/1/2001,55.65,77.84,76.97,21.76
Carrot,6/1/2001,63.05,76.24,86.46,18.3
Cabbage,6/1/2001,54.53,65.93,78.42,17.65
Tomato,6/1/2001,64.89,82.47,87.35,20.02
Brinjal,6/1/2001,41.24,56.39,58.82,16.36
Pumpkin,6/1/2001,32.13,41.61,46.07,11.71
Snake Gourd,6/1/2001,37.89,52,51.14,13.68
Green Chilli,6/1/2001,74.74,97.65,104.32,26.25
Lime,6/1/2001,82.02,104.75,111.33,26.02
Beans,7/1/2001,58.58,73.25,76.99,16.54
Carrot,7/1/2001,65.08,78.28,81.78,14.95
Cabbage,7/1/2001,49.13,65.93,62.53,15.1
Tomato,7/1/2001,64.82,83.61,83.59,18.78
Brinjal,7/1/2001,44.3,56.51,63.02,15.47
Pumpkin,7/1/2001,30.53,37.36,41.4,8.85
Snake Gourd,7/1/2001,37.28,49.45,53.5,14.2
Green Chilli,7/1/2001,79.77,111.03,110.83,31.16
Lime,7/1/2001,92.79,128.07,134.21,38.35
Beans,8/1/2001,55.64,74.15,73.93,18.4
Carrot,8/1/2001,62.72,78,87.44,20
Cabbage,8/1/2001,46.68,61.82,63.34,15.9
Tomato,8/1/2001,62.59,81.48,83.52,19.91
Brinjal,8/1/2001,45.39,60.97,62.14,16.16
Pumpkin,8/1/2001,27.27,34.03,36.46,7.98
Snake Gourd,8/1/2001,39.77,53.98,51.85,13.14
Green Chilli,8/1/2001,76.84,92.83,98.3,18.72
Lime,8/1/2001,87.27,121.72,124.76,35.97
Beans,9/1/2001,48.03,64.79,60.28,14.51
Carrot,9/1/2001,58.81,82.12,76.93,20.72
Cabbage,9/1/2001,44.69,56.19,60.79,13.8
Tomato,9/1/2001,61.81,81.38,88.06,22.91
Brinjal,9/1/2001,43.01,55.21,58.9,14.05
Pumpkin,9/1/2001,29.9,36.56,42.12,9.44
Snake Gourd,9/1/2001,38.64,53.54,48.66,12.46
Green Chilli,9/1/2001,71.44,95.64,91.56,22.16
Lime,9/1/2001,79.2,105.57,103.07,25.12
Beans,10/1/2001,51.34,64.22,73.61,17.57
Carrot,10/1/2001,57.63,72.47,79.16,18.18
Cabbage,10/1/2001,42.07,51.49,54.2,10.78
Tomato,10/1/2001,49.43,65.53,67.15,16.91
Brinjal,10/1/2001,42.22,52.62,54.85,11.52
Pumpkin,10/1/2001,28.45,35.37,36.57,7.52
Snake Gourd,10/1/2001,36.29,50.73,49.29,13.72
Green Chilli,10/1/2001,70.76,85.55,89.71,16.87
Lime,10/1/2001,72.52,100.46,97.45,26.44
Beans,11/1/2001,47.57,63.41,68.56,18.42
Carrot,11/1/2001,55.39,75.85,75.25,20.16
Cabbage,11/1/2001,45.27,55.02,63.78,14.13
Tomato,11/1/2001,57.43,76.52,79.55,20.6
Brinjal,11/1/2001,41.34,53.02,52.93,11.63
Pumpkin,11/1/2001,31.4,41.19,41.7,10.05
Snake Gourd,11/1/2001,35.99,47.96,50.18,13.08
Green Chilli,11/1/2001,77.44,105.36,109.78,30.13
Lime,11/1/2001,77.81,98.33,109.85,26.28
Beans,12/1/2001,54.05,66.99,76.73,17.81
Carrot,12/1/2001,60.49,72.88,83.35,17.62
Cabbage,12/1/2001,49.76,66.35,62.26,14.54
Tomato,12/1/2001,52.83,66.93,73.97,17.62
Brinjal,12/1/2001,42.8,58.26,60.75,16.71
Pumpkin,12/1/2001,33.52,46.02,46.37,12.67
Snake Gourd,12/1/2001,39.21,48.06,53.7,11.67
Green Chilli,12/1/2001,77.91,96.39,112.86,26.72
Lime,12/1/2001,81.44,109.35,103.4,24.94
Beans,1/1/2002,62.01,79.95,88.9,22.42
Carrot,1/1/2002,68.07,88.58,86.85,19.65
Cabbage,1/1/2002,55.13,73.28,75.91,19.46
Tomato,1/1/2002,60.74,74.14,85.67,19.16
Brinjal,1/1/2002,46.5,62.68,60.63,15.16
Pumpkin,1/1/2002,35.95,44.98,47.06,10.07
Snake Gourd,1/1/2002,40.73,53.29,52.18,12.01
Green Chilli,1/1/2002,80.31,107.99,112,29.68
Lime,1/1/2002,89.39,111.52,115.1,23.92
Beans,2/1/2002,57.23,77.13,82.22,22.44
Carrot,2/1/2002,65.01,90.07,88.9,24.47
Cabbage,2/1/2002,56.6,68.26,72.2,13.63
Tomato,2/1/2002,59.65,75.36,76.52,16.29
Brinjal,2/1/2002,45.08,60.61,63.1,16.78
Pumpkin,2/1/2002,36.07,46.89,47.12,10.93
Snake Gourd,2/1/2002,41.88,54.04,55.98,13.13
Green Chilli,2/1/2002,84.84,104.31,116.64,25.64
Lime,2/1/2002,97.72,125.66,126.47,28.34
Beans,3/1/2002,58.92,81.57,75.63,19.68
Carrot,3/1/2002,69.51,92.69,100.01,26.84
Cabbage,3/1/2002,55.82,69.55,77.32,17.61
Tomato,3/1/2002,64.64,87.37,81.41,19.75
Brinjal,3/1/2002,52.64,71.78,66.92,16.71
Pumpkin,3/1/2002,32.47,39.48,45.4,9.97
Snake Gourd,3/1/2002,43.3,57.44,60.51,15.68
Green Chilli,3/1/2002,87.95,120.48,123.66,34.12
Lime,3/1/2002,87.93,110.63,126.16,30.46
Beans,4/1/2002,65.98,82.71,83.01,16.88
Carrot,4/1/2002,74.47,90.43,98.6,20.05
Cabbage,4/1/2002,53.42,71.66,77.15,20.98
Tomato,4/1/2002,68.74,82.58,87.34,16.22
Brinjal,4/1/2002,42.72,56.98,54.25,12.9
Pumpkin,4/1/2002,31.35,38.37,44.5,10.08
Snake Gourd,4/1/2002,40.39,53.17,53.97,13.18
Green Chilli,4/1/2002,89.49,124.12,124.74,34.94
Lime,4/1/2002,86.74,114.5,116.46,28.74
Beans,5/1/2002,55.05,70.56,70.84,15.65
Carrot,5/1/2002,65.45,82.97,91.48,21.78
Cabbage,5/1/2002,47.04,57.45,61.84,12.61
Tomato,5/1/2002,63.45,79.88,83.91,18.44
Brinjal,5/1/2002,43.75,53.41,60.14,13.02
Pumpkin,5/1/2002,34.27,44.43,48.05,11.97
Snake Gourd,5/1/2002,38.71,50.36,50.73,11.83
Green Chilli,5/1/2002,85.76,116.89,121.56,33.46
Lime,5/1/2002,87.38,118.37,118.64,31.13
Beans,6/1/2002,59.67,82.74,84.65,24.02
Carrot,6/1/2002,69.55,91.43,90.61,21.47
Cabbage,6/1/2002,49.76,61.01,66.99,14.24
Tomato,6/1/2002,64.29,85.58,92.18,24.59
Brinjal,6/1/2002,43.47,57.93,59.02,15.01
Pumpkin,6/1/2002,34.07,47.26,46.25,12.68
Snake Gourd,6/1/2002,42.63,58.63,59.65,16.51
Green Chilli,6/1/2002,84.42,102.5,118.77,26.21
Lime,6/1/2002,96.29,125.49,135.55,34.23
Beans,7/1/2002,50.95,70.91,73.4,21.2
Carrot,7/1/2002,69.42,89.46,99.22,24.92
Cabbage,7/1/2002,48.46,61.58,62.17,13.42
Tomato,7/1/2002,53.7,68.34,70.79,15.87
Brinjal,7/1/2002,47.18,56.93,64.72,13.64
Pumpkin,7/1/2002,32.57,42.86,45.78,11.75
Snake Gourd,7/1/2002,38.83,49.17,52.25,11.88
Green Chilli,7/1/2002,84.27,117.72,108.6,28.89
Lime,7/1/2002,82.52,104.97,119.43,29.68
Beans,8/1/2002,59.16,74.12,77.04,16.42
Carrot,8/1/2002,61.9,82.23,81.07,19.75
Cabbage,8/1/2002,53.12,72.26,73.68,19.85
Tomato,8/1/2002,58.81,80.08,78.68,20.57
Brinjal,8/1/2002,42.29,55.32,55.23,12.98
Pumpkin,8/1/2002,35.1,47.06,47.58,12.22
Snake Gourd,8/1/2002,41.56,55.91,53.06,12.92
Green Chilli,8/1/2002,79.28,104.55,107.97,26.98
Lime,8/1/2002,84.62,102.9,120.17,26.92
Beans,9/1/2002,54.1,68.43,74.24,17.24
Carrot,9/1/2002,60.32,76.06,85.59,20.51
Cabbage,9/1/2002,45.03,57.5,58.97,13.2
Tomato,9/1/2002,57.99,79.78,82.54,23.17
Brinjal,9/1/2002,47.11,60.85,61.95,14.29
Pumpkin,9/1/2002,33.94,45.06,43.52,10.35
Snake Gourd,9/1/2002,42.68,55.17,57.84,13.83
Green Chilli,9/1/2002,82.67,112.97,112.52,30.07
Lime,9/1/2002,95.81,115.84,135.03,29.62
Beans,10/1/2002,59.37,74.7,82.4,19.18
Carrot,10/1/2002,64.11,89.6,82.78,22.08
Cabbage,10/1/2002,48.19,62.23,61.02,13.44
Tomato,10/1/2002,60.88,75.67,87.32,20.61
Brinjal,10/1/2002,47.02,65.6,66.83,19.19
Pumpkin,10/1/2002,28.83,37.78,37.81,8.97
Snake Gourd,10/1/2002,40.03,55.13,52.87,13.97
Green Chilli,10/1/2002,70.01,86.24,101.02,23.62
Lime,10/1/2002,97.34,123.24,139.69,34.12
Beans,11/1/2002,50.92,66.74,65.5,15.2
Carrot,11/1/2002,68.86,93,98.02,26.65
Cabbage,11/1/2002,50.9,65.5,66.18,14.94
Tomato,11/1/2002,62.99,80.14,85.55,19.85
Brinjal,11/1/2002,44.63,56.39,57.3,12.21
Pumpkin,11/1/2002,34.65,47.49,46.07,12.13
Snake Gourd,11/1/2002,35.96,46.4,49.15,11.81
Green Chilli,11/1/2002,76.63,104.08,96.44,23.63
Lime,11/1/2002,88.99,114.15,119.74,27.96
Beans,12/1/2002,54.64,68.53,76.63,17.94
Carrot,12/1/2002,68.89,91.08,87.29,20.3
Cabbage,12/1/2002,49.09,61.95,62.16,12.96
Tomato,12/1/2002,64.61,90.19,88.77,24.87
Brinjal,12/1/2002,41.12,54.13,57.85,14.87
Pumpkin,12/1/2002,33.09,43.21,44.41,10.72
Snake Gourd,12/1/2002,41.68,50.83,60.21,13.84
Green Chilli,12/1/2002,81.39,98.75,111.72,23.84
Lime,12/1/2002,89.46,108.8,126.29,28.09
Beans,1/1/2003,66.17,81.5,91.92,20.54
Carrot,1/1/2003,69.9,91.04,90.31,20.78
Cabbage,1/1/2003,48.83,60.44,69.61,16.2
Tomato,1/1/2003,68.08,94,93.18,25.51
Brinjal,1/1/2003,51.56,67.57,68.93,16.69
Pumpkin,1/1/2003,33.78,45.84,45.38,11.83
Snake Gourd,1/1/2003,46.54,60.18,61.31,14.21
Green Chilli,1/1/2003,95.73,132.93,137.47,39.47
Lime,1/1/2003,97.21,130.98,129.71,33.14
Beans,2/1/2003,55.62,76.11,77.37,21.12
Carrot,2/1/2003,68.95,89.59,99.44,25.56
Cabbage,2/1/2003,52.5,65.52,71.71,16.11
Tomato,2/1/2003,68,83.78,94.71,21.24
Brinjal,2/1/2003,51.65,68.74,68.68,17.06
Pumpkin,2/1/2003,39.01,46.91,53.7,11.3
Snake Gourd,2/1/2003,49.83,61.48,65.99,13.9
Green Chilli,2/1/2003,94.8,127.1,122.31,29.9
Lime,2/1/2003,87.26,109.61,112.85,23.97
Beans,3/1/2003,58.14,72.13,83.09,19.47
Carrot,3/1/2003,65.06,88.25,88.68,23.4
Cabbage,3/1/2003,60.85,73.26,87.76,19.66
Tomato,3/1/2003,72.32,91.73,101.16,24.13
Brinjal,3/1/2003,51.38,70.44,65.54,16.61
Pumpkin,3/1/2003,42.86,58.03,54.31,13.31
Snake Gourd,3/1/2003,45.85,58.26,66.4,16.48
Green Chilli,3/1/2003,89.17,112.92,114.31,24.44
Lime,3/1/2003,108.69,149.74,152.85,42.6
Beans,4/1/2003,63.25,79.7,80.59,16.9
Carrot,4/1/2003,75.42,90.94,108.78,24.44
Cabbage,4/1/2003,65.43,85.65,86.53,20.66
Tomato,4/1/2003,67.83,85.73,94.17,22.12
Brinjal,4/1/2003,54.66,71.57,76.4,19.33
Pumpkin,4/1/2003,39.28,52.2,53.65,13.64
Snake Gourd,4/1/2003,44.85,54.99,56.33,10.81
Green Chilli,4/1/2003,93.98,114.45,124.38,25.43
Lime,4/1/2003,108.13,134.78,140.41,29.47
Beans,5/1/2003,60.67,83.78,83.21,22.82
Carrot,5/1/2003,73.42,101.54,91.97,23.34
Cabbage,5/1/2003,53.23,67.44,71.25,16.12
Tomato,5/1/2003,71.43,98.54,97.77,26.72
Brinjal,5/1/2003,52.61,72.25,71.16,19.1
Pumpkin,5/1/2003,39.5,49.91,55.37,13.14
Snake Gourd,5/1/2003,48.64,63.74,65.23,15.85
Green Chilli,5/1/2003,84.96,115.71,116.28,31.04
Lime,5/1/2003,101.55,125.15,134.72,28.39
Beans,6/1/2003,61.91,75,88,19.59
Carrot,6/1/2003,66.27,85.7,94.64,23.9
Cabbage,6/1/2003,50.55,70.23,70.9,20.02
Tomato,6/1/2003,61.45,80.35,80.22,18.83
Brinjal,6/1/2003,49.17,60.58,70.2,16.22
Pumpkin,6/1/2003,33.51,42.07,44.08,9.57
Snake Gourd,6/1/2003,45.62,58.79,60.86,14.21
Green Chilli,6/1/2003,84.67,115.36,118.82,32.42
Lime,6/1/2003,88.78,116.74,114.3,26.74
Beans,7/1/2003,59.47,77.57,78.69,18.66
Carrot,7/1/2003,67.11,91.02,94.01,25.4
Cabbage,7/1/2003,54.63,74.78,71.93,18.73
Tomato,7/1/2003,66.44,82.51,92.38,21.01
Brinjal,7/1/2003,43.52,53.28,57.29,11.76
Pumpkin,7/1/2003,34.2,44.39,44.84,10.42
Snake Gourd,7/1/2003,39.75,50.62,53.03,12.08
Green Chilli,7/1/2003,83.98,113.11,109.73,27.44
Lime,7/1/2003,99.91,122.91,144.1,33.6
Beans,8/1/2003,57.78,76.14,73.75,17.16
Carrot,8/1/2003,69.32,87.46,87.77,18.3
Cabbage,8/1/2003,55.31,75.19,78.61,21.59
Tomato,8/1/2003,62.54,84.62,86.43,22.99
Brinjal,8/1/2003,45.95,61,59.39,14.24
Pumpkin,8/1/2003,36.65,44.14,48.17,9.51
Snake Gourd,8/1/2003,38.07,50.39,51.5,12.88
Green Chilli,8/1/2003,76.57,93.4,98.92,19.59
Lime,8/1/2003,100.55,137.94,139.78,38.31
Beans,9/1/2003,62.78,78.82,84.96,19.11
Carrot,9/1/2003,63.14,77.17,81.84,16.37
Cabbage,9/1/2003,53.99,65.95,70.9,14.44
Tomato,9/1/2003,63,82.18,80.67,18.43
Brinjal,9/1/2003,51.26,64.24,71.78,16.75
Pumpkin,9/1/2003,31.42,42.81,45.5,12.74
Snake Gourd,9/1/2003,41.67,50.57,57.62,12.42
Green Chilli,9/1/2003,82.05,99.55,112.83,24.14
Lime,9/1/2003,93.95,124.25,123.49,29.92
Beans,10/1/2003,51.99,66.34,72.02,17.19
Carrot,10/1/2003,65.18,78.53,88.61,18.39
Cabbage,10/1/2003,47,62.06,67.85,17.95
Tomato,10/1/2003,62.74,77.11,82.76,17.2
Brinjal,10/1/2003,39.12,53.43,52.71,13.95
Pumpkin,10/1/2003,32.99,39.84,47.64,10.75
Snake Gourd,10/1/2003,40.38,53.32,56.69,14.62
Green Chilli,10/1/2003,91.32,121.22,126.96,32.77
Lime,10/1/2003,78.99,105.01,102.86,24.95
Beans,11/1/2003,54.58,75.51,76.8,21.58
Carrot,11/1/2003,72.89,94.34,97.83,23.2
Cabbage,11/1/2003,54.08,74.74,71.05,18.81
Tomato,11/1/2003,71.95,95.07,101.46,26.31
Brinjal,11/1/2003,43.95,61.08,58.86,16.02
Pumpkin,11/1/2003,35.65,45.71,45.96,10.19
Snake Gourd,11/1/2003,37.73,47.39,52.78,12.36
Green Chilli,11/1/2003,81.48,112.84,110.83,30.35
Lime,11/1/2003,88.54,117.11,111.28,25.65
Beans,12/1/2003,53.94,73.65,69.48,17.63
Carrot,12/1/2003,66.98,85.63,97.05,24.36
Cabbage,12/1/2003,48.11,59.03,61.89,12.35
Tomato,12/1/2003,56.64,69.12,76.6,16.22
Brinjal,12/1/2003,46.38,64.75,64.25,18.12
Pumpkin,12/1/2003,35.98,45.67,51.16,12.44
Snake Gourd,12/1/2003,37.8,50.01,54.67,14.54
Green Chilli,12/1/2003,91.4,121.71,132.07,35.49
Lime,12/1/2003,99.88,137.26,133.66,35.58
Beans,1/1/2004,61.34,74.93,82.85,17.55
Carrot,1/1/2004,80,96.91,111.33,24.12
Cabbage,1/1/2004,59.94,83.36,86.61,25.04
Tomato,1/1/2004,73.58,95.78,98.9,23.76
Brinjal,1/1/2004,60.32,77.98,78.12,17.73
Pumpkin,1/1/2004,39.11,49.45,52.92,12.08
Snake Gourd,1/1/2004,50.7,61.62,73.21,16.71
Green Chilli,1/1/2004,84.91,116.76,113.08,30.01
Lime,1/1/2004,96.38,131.34,136.56,37.57
Beans,2/1/2004,69.08,96.05,91.5,24.7
Carrot,2/1/2004,81.63,106.86,103.18,23.39
Cabbage,2/1/2004,52.59,66.13,72.27,16.61
Tomato,2/1/2004,70.9,90.62,97.13,22.97
Brinjal,2/1/2004,56.24,71.57,79.94,19.51
Pumpkin,2/1/2004,43.83,57.33,58.58,14.12
Snake Gourd,2/1/2004,45.11,60.28,60.68,15.37
Green Chilli,2/1/2004,87,118.56,112,28.28
Lime,2/1/2004,109.78,150.29,158.7,44.71
Beans,3/1/2004,76.45,100.65,97.16,22.46
Carrot,3/1/2004,74.25,98.94,104.38,27.41
Cabbage,3/1/2004,58.15,72.59,83.45,19.87
Tomato,3/1/2004,69.06,89.84,99.54,25.63
Brinjal,3/1/2004,49.91,65.04,64.01,14.62
Pumpkin,3/1/2004,40.03,50.37,51.58,10.94
Snake Gourd,3/1/2004,52.88,64.06,76.26,17.28
Green Chilli,3/1/2004,97.65,120.01,137.74,31.22
Lime,3/1/2004,107.84,131,155.24,35.28
Beans,4/1/2004,70.89,93.28,100.75,26.12
Carrot,4/1/2004,82.99,99.85,115.05,24.46
Cabbage,4/1/2004,59.78,77.24,81.96,19.82
Tomato,4/1/2004,83.75,105.8,109.13,23.71
Brinjal,4/1/2004,51.7,71.1,65.22,16.46
Pumpkin,4/1/2004,45.57,59.43,58.06,13.18
Snake Gourd,4/1/2004,41.03,51,55.91,12.42
Green Chilli,4/1/2004,104.59,142.14,137.98,35.47
Lime,4/1/2004,106.05,137.94,148.09,36.97
Beans,5/1/2004,66.47,82.51,93.21,21.39
Carrot,5/1/2004,74.45,103.55,97.76,26.2
Cabbage,5/1/2004,58.63,77.91,84.55,22.6
Tomato,5/1/2004,73.18,87.97,102.19,21.9
Brinjal,5/1/2004,51.12,63.94,67.58,14.64
Pumpkin,5/1/2004,40.41,55.53,53.69,14.2
Snake Gourd,5/1/2004,46.79,58.15,63.16,13.86
Green Chilli,5/1/2004,99.79,121.42,136.73,29.28
Lime,5/1/2004,108.41,137.61,142.62,31.71
Beans,6/1/2004,61.98,74.91,84.72,17.84
Carrot,6/1/2004,71.51,85.9,92.78,17.83
Cabbage,6/1/2004,61.32,79.56,85.07,20.99
Tomato,6/1/2004,80.33,110.99,104.37,27.35
Brinjal,6/1/2004,48.05,61.17,69.01,17.04
Pumpkin,6/1/2004,39.55,50.16,54.67,12.87
Snake Gourd,6/1/2004,54.48,74.31,69.95,17.65
Green Chilli,6/1/2004,84.95,109.05,116.14,27.64
Lime,6/1/2004,105.72,135.89,135.2,29.82
